DA,Quiz-1,Quiz-2,CAT-1,CAT-2,FAT
10,14,15,25,16,16
10,14,15,11,26,16
10,14,14,11,19,16
10,12,8,16,20,16
10,14,12,25,25,16
10,15,15,11,7,16
10,12,10,16,22,16
10,10,10,20,25,16
10,10,10,16,25,16
10,14,10,21,17,16
10,14,10,36,25,16
10,15,0,25,20,16
10,14,10,22,7,16
10,14,10,32,12,16
10,12,10,18,15,16
10,10,10,20,21,16
10,12,8,15,20,16
10,10,8,25,14,16
10,12,12,17,14,16
10,12,12,17,20,16
10,14,10,25,20,16
10,12,10,21,25,16
10,12,8,32,25,16
10,14,10,26,17,16
10,12,12,18,26,16
10,14,10,25,18,16
10,12,6,30,27,16
10,12,10,20,25,16
10,14,8,25,21,16
10,12,10,33,20,16
10,14,14,15,10,16
10,12,8,25,17,16
10,14,12,30,22,16
10,14,10,10,25,16
10,14,8,25,18,16
10,12,10,26,21,16
10,14,10,38,17,16
10,16,14,35,17,16
10,14,12,20,25,16
10,16,14,25,25,16
10,16,12,34,25,16
10,14,12,21,17,16
10,14,10,28,22,16
10,18,16,25,25,16
10,14,10,25,25,16
10,14,12,32,18,16
10,16,10,39,25,16
10,12,10,28,27,16
10,14,14,32,21,16
10,14,14,35,36,16
10,14,10,35,25,16
10,12,12,27,44,16
10,16,10,37,28,16
10,14,10,38,25,16
10,18,10,34,31,16
10,16,12,34,34,16
10,16,14,37,28,16
10,14,12,43,36,16
10,12,12,36,43,16
10,16,14,46,45,16
10,16,14,37,41,16
10,16,10,46,44,16
10,14,14,37,41,16
10,16,16,41,42,16
10,18,14,45,37,16
10,18,12,50,48,16
10,20,14,39,40,16
10,20,18,42,47,16
10,20,18,48,47,16
